task_id,reward,trial,num_turns,num_tool_calls,tool_names_called,has_stop_message,has_transfer_to_human,gt_num_tool_calls,gt_tool_names_called,gt_has_transfer_to_human,gt_num_outputs,gt_output_names,fault_caused_by,fault_assignment_description,is_empty_trajectory,error_info,fault_type,fault_type_description
0,1,0,28,5,"['find_user_id_by_name_zip', 'get_product_details', 'exchange_delivered_order_items', 'get_order_details']",True,False,5,"['find_user_id_by_name_zip', 'get_product_details', 'exchange_delivered_order_items', 'get_order_details']",False,0,[],,,,,,
1,1,0,26,5,"['find_user_id_by_name_zip', 'get_product_details', 'exchange_delivered_order_items', 'get_order_details']",True,False,5,"['find_user_id_by_name_zip', 'get_product_details', 'exchange_delivered_order_items', 'get_order_details']",False,0,[],,,,,,
2,1,0,30,10,"['get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'return_delivered_order_items', 'list_all_product_types']",False,False,12,"['get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'return_delivered_order_items', 'list_all_product_types']",False,1,['10'],,,,,,
3,1,0,30,10,"['modify_pending_order_items', 'get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'list_all_product_types']",False,False,13,"['modify_pending_order_items', 'get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'list_all_product_types']",False,1,['10'],,,,,,
4,1,0,36,11,"['modify_pending_order_items', 'get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'list_all_product_types']",True,False,14,"['modify_pending_order_items', 'get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'list_all_product_types']",False,1,['10'],,,,,,
5,1,0,32,6,"['get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'return_delivered_order_items']",True,False,5,"['get_product_details', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details', 'return_delivered_order_items']",False,0,[],,,,,,
6,1,0,36,8,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",True,False,6,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",False,0,[],,,,,,
7,1,0,34,6,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",True,False,6,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",False,0,[],,,,,,
8,1,0,38,7,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",True,False,6,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",False,0,[],,,,,,
9,1,0,30,6,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",True,False,6,"['get_product_details', 'exchange_delivered_order_items', 'find_user_id_by_name_zip', 'get_user_details', 'get_order_details']",False,0,[],,,,,,
